location_code,latitude,longitude,sampleid,time,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
T16,38.11798,-122.867,TL16,2021-01-29 19:38:00+00:00,12.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,0.0,11.0,972.0,93.0,1101.0,2021-01-29,2021-01-25,2021,1
T16,38.11798,-122.867,TL16,2021-02-25 18:14:00+00:00,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,2322.0,68.0,2415.0,2021-02-25,2021-02-22,2021,2
T16,38.11798,-122.867,TL16,2021-03-27 19:30:00+00:00,3.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,288.0,24.0,328.0,2021-03-27,2021-03-22,2021,3
T16,38.11798,-122.867,TL16,2021-04-14 21:15:00+00:00,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,676.0,13.0,697.0,2021-04-14,2021-04-12,2021,4
T16,38.11798,-122.867,TL16,2021-05-28 22:00:00+00:00,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,739.0,24.0,777.0,2021-05-28,2021-05-24,2021,5
T16,38.11798,-122.867,TL16,2021-06-24 19:19:00+00:00,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,594.0,60.0,672.0,2021-06-24,2021-06-21,2021,6
T16,38.11798,-122.867,TL16,2021-07-22 18:46:00+00:00,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,2021-07-22,2021-07-19,2021,7
T16,38.11798,-122.867,TL16,2021-08-20 19:20:00+00:00,0.0,25.0,44.0,0.0,89.0,6.0,8.0,476.0,0.0,17.0,453.0,133.0,1251.0,2021-08-20,2021-08-16,2021,8
T16,38.11798,-122.867,TL16,2021-09-30 17:48:00+00:00,10.0,10.0,5.0,15.0,196.0,0.0,7.0,64.0,0.0,22.0,341.0,110.0,780.0,2021-09-30,2021-09-27,2021,9
T16,38.11798,-122.867,TL16,2021-10-27 19:51:00+00:00,1500.0,0.0,15.0,0.0,60.0,0.0,0.0,30.0,0.0,68.0,143.0,53.0,1868.0,2021-10-27,2021-10-25,2021,10
T16,38.11798,-122.867,TL16,2021-11-22 20:38:00+00:00,182.0,7.0,2.0,0.0,568.0,0.0,7.0,27.0,0.0,20.0,129.0,136.0,1078.0,2021-11-22,2021-11-22,2021,11
T16,38.11798,-122.867,TL16,2021-12-17 19:15:00+00:00,21.0,0.0,6.0,0.0,231.0,0.0,6.0,6.0,0.0,6.0,694.0,561.0,1531.0,2021-12-17,2021-12-13,2021,12
T16,38.11798,-122.867,TL16,2022-01-25 22:47:00+00:00,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20961.0,52.0,21027.0,2022-01-25,2022-01-24,2022,1
T16,38.11798,-122.867,TL16,2022-02-18 21:40:00+00:00,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,296.0,133.0,442.0,2022-02-18,2022-02-14,2022,2
T16,38.11798,-122.867,TL16,2022-04-01 18:58:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11890.0,85.0,11978.0,2022-04-01,2022-03-28,2022,4
T16,38.11798,-122.867,TL16,2022-04-29 18:12:00+00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,358.0,43.0,403.0,2022-04-29,2022-04-25,2022,4
T16,38.11798,-122.867,TL16,2022-05-31 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,12.0,357.0,2022-05-31,2022-05-30,2022,5
T16,38.11798,-122.867,TL16,2022-07-01 21:27:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,181.0,16.0,201.0,2022-07-01,2022-06-27,2022,7
T16,38.11798,-122.867,TL16,2022-08-01 20:46:00+00:00,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,114.0,42.0,165.0,2022-08-01,2022-08-01,2022,8
T16,38.11798,-122.867,TL16,2022-08-31 20:16:00+00:00,0.0,20.0,45.0,0.0,9.0,12.0,0.0,10.0,0.0,10.0,120.0,84.0,309.0,2022-08-31,2022-08-29,2022,8
T16,38.11798,-122.867,TL16,2022-09-30 22:07:00+00:00,0.0,0.0,14.0,0.0,2.0,14.0,0.0,7.0,0.0,5.0,673.0,53.0,769.0,2022-09-30,2022-09-26,2022,9
T16,38.11798,-122.867,TL16,2022-10-28 21:00:00+00:00,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,90.0,50.0,151.0,2022-10-28,2022-10-24,2022,10
T16,38.11798,-122.867,TL16,2022-11-22 19:02:00+00:00,58.0,6.0,1.0,0.0,4.0,0.0,0.0,12.0,0.0,2.0,55.0,59.0,197.0,2022-11-22,2022-11-21,2022,11
T16,38.11798,-122.867,TL16,2022-12-14 20:14:00+00:00,20.0,4.0,2.0,0.0,91.0,0.0,6.0,35.0,0.0,0.0,116.0,22.0,296.0,2022-12-14,2022-12-12,2022,12
T16,38.11798,-122.867,TL16,2023-02-01 17:08:00+00:00,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,8198.0,42.0,8254.0,2023-02-01,2023-01-30,2023,2
T16,38.11798,-122.867,TL16,2023-03-29 22:17:00+00:00,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13333.0,1588.0,14938.0,2023-03-29,2023-03-27,2023,3
T16,38.11798,-122.867,TL16,2023-04-26 22:48:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,180629.0,289.0,181134.0,2023-04-26,2023-04-24,2023,4
T16,38.11798,-122.867,TL16,2023-05-23 22:15:00+00:00,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12440.0,926.0,13378.0,2023-05-23,2023-05-22,2023,5
T16,38.11798,-122.867,TL16,2023-06-29 18:14:00+00:00,65.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,181.0,0.0,302.0,2023-06-29,2023-06-26,2023,6
T16,38.11798,-122.867,TL16,2023-07-20 20:42:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,10304.0,93.0,10439.0,2023-07-20,2023-07-17,2023,7
T16,38.11798,-122.867,TL16,2023-08-16 19:39:00+00:00,0.0,0.0,9.0,0.0,89.0,0.0,53.0,9.0,0.0,0.0,2760.0,116.0,3036.0,2023-08-16,2023-08-14,2023,8
T16,38.11798,-122.867,TL16,2023-09-20 18:26:00+00:00,0.0,0.0,23.0,0.0,58.0,12.0,0.0,6.0,0.0,0.0,2425.0,164.0,2688.0,2023-09-20,2023-09-18,2023,9
T16,38.11798,-122.867,TL16,2023-10-30 20:45:00+00:00,45.0,41.0,0.0,0.0,90.0,0.0,0.0,18.0,0.0,5.0,27.0,45.0,230.0,2023-10-30,2023-10-30,2023,10
T16,38.11798,-122.867,TL16,2023-11-29 20:45:00+00:00,112.0,7.0,1.0,0.0,73.0,0.0,0.0,28.0,0.0,30.0,16.0,5.0,272.0,2023-11-29,2023-11-27,2023,11
T16,38.11798,-122.867,TL16,2023-12-14 20:18:00+00:00,14.0,0.0,5.0,0.0,65.0,0.0,0.0,63.0,0.0,0.0,16.0,7.0,171.0,2023-12-14,2023-12-11,2023,12
T16,38.11798,-122.867,TL16,2024-01-25 19:45:00+00:00,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,134.0,160.0,2024-01-25,2024-01-22,2024,1
T16,38.11798,-122.867,TL16,2024-02-28 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,5.0,151.0,2024-02-28,2024-02-26,2024,2
T16,38.11798,-122.867,TL16,2024-03-28 21:06:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,21.0,208.0,2024-03-28,2024-03-25,2024,3
T16,38.11798,-122.867,TL16,2024-04-24 19:16:00+00:00,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,174.0,39.0,226.0,2024-04-24,2024-04-22,2024,4
T16,38.11798,-122.867,TL16,2024-05-21 19:41:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,83.0,9931.0,830.0,10900.0,2024-05-21,2024-05-20,2024,5
T16,38.11798,-122.867,TL16,2024-07-12 21:07:00+00:00,180.0,395.0,26.0,0.0,60.0,26.0,17.0,0.0,0.0,60.0,103.0,1065.0,1932.0,2024-07-12,2024-07-08,2024,7
T16,38.11798,-122.867,TL16,2024-07-31 19:50:00+00:00,46.0,0.0,9.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,1466.0,46.0,1798.0,2024-07-31,2024-07-29,2024,7
T16,38.11798,-122.867,TL16,2024-09-30 19:56:00+00:00,113.0,0.0,214.0,0.0,665.0,0.0,0.0,11922.0,0.0,214.0,225.0,124.0,13477.0,2024-09-30,2024-09-30,2024,9
T16,38.11798,-122.867,TL16,2024-10-30 18:48:00+00:00,2123.0,370.0,12.0,0.0,727.0,0.0,0.0,1395.0,0.0,0.0,131.0,12.0,4770.0,2024-10-30,2024-10-28,2024,10
T16,38.11798,-122.867,TL16,2024-12-17 20:52:00+00:00,458.0,0.0,0.0,0.0,270.0,0.0,0.0,593.0,0.0,0.0,1142.0,8.0,2472.0,2024-12-17,2024-12-16,2024,12
T16,38.11798,-122.867,TL16,2025-01-30 19:18:00+00:00,1033.0,0.0,0.0,0.0,898.0,0.0,0.0,262.0,0.0,0.0,87.0,390.0,2671.0,2025-01-30,2025-01-27,2025,1
T16,38.11798,-122.867,TL16,2025-02-24 17:50:00+00:00,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,100164.0,5823.0,106360.0,2025-02-24,2025-02-24,2025,2
T16,38.11798,-122.867,TL16,2025-03-18 20:20:00+00:00,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,253.0,29.0,362.0,2025-03-18,2025-03-17,2025,3
T16,38.11798,-122.867,TL16,2025-05-15 20:50:00+00:00,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,1201.0,0.0,1476.0,2025-05-15,2025-05-12,2025,5
T16,38.11798,-122.867,TL16,2025-06-30 22:45:00+00:00,0.0,0.0,0.0,0.0,0.0,19.0,87.0,0.0,0.0,0.0,3636.0,154.0,3897.0,2025-06-30,2025-06-30,2025,6
T16,38.11798,-122.867,TL16,2025-07-31 21:18:00+00:00,120.0,12.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,341.0,36.0,533.0,2025-07-31,2025-07-28,2025,7
T16,38.11798,-122.867,TL16,2025-09-26 18:04:00+00:00,223.0,0.0,25.0,0.0,289.0,0.0,0.0,207.0,0.0,0.0,3191.0,50.0,3985.0,2025-09-26,2025-09-22,2025,9
T16,38.11798,-122.867,TL16,2025-10-27 19:54:00+00:00,901.0,87.0,0.0,0.0,293.0,0.0,0.0,195.0,0.0,11.0,521.0,11.0,2040.0,2025-10-27,2025-10-27,2025,10
T16,38.11798,-122.867,TL16,2025-11-25 18:43:00+00:00,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,65.0,2025-11-25,2025-11-24,2025,11
T16,38.11798,-122.867,TL16,2025-12-30 16:31:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,56.0,2025-12-30,2025-12-29,2025,12
T16,38.11798,-122.867,TL16,2026-01-30 17:13:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,10484.0,0.0,10517.0,2026-01-30,2026-01-26,2026,1
T16,38.11798,-122.867,TL16,2026-03-03 20:13:00+00:00,0.0,0.0,0.0,0.0,1306.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1323.0,2026-03-03,2026-03-02,2026,3
